University,Deviation,Type
東京大学,72.5,National
京都大学,70.0,National
東京科学大学(東工大),68.0,National
一橋大学,68.0,National
大阪大学,65.0,National
名古屋大学,62.5,National
東北大学,62.5,National
九州大学,60.0,National
北海道大学,60.0,National
筑波大学,60.0,National
神戸大学,60.0,National
横浜国立大学,57.5,National
千葉大学,57.5,National
電気通信大学,57.5,National
早稲田大学,67.5,Private
慶應義塾大学,67.5,Private
上智大学,65.0,Private
東京理科大学,62.5,Private
国際基督教大学(ICU),65.0,Private
明治大学,60.0,Private
青山学院大学,58.0,Private
立教大学,58.0,Private
中央大学,57.5,Private
法政大学,57.5,Private
学習院大学,57.5,Private
同志社大学,60.0,Private
立命館大学,57.5,Private
関西学院大学,55.0,Private
関西大学,55.0,Private
芝浦工業大学,55.0,Private
豊田工業大学,60.0,Private
東京都市大学,52.5,Private
日本大学,50.0,Private
東洋大学,52.5,Private
駒澤大学,47.5,Private
専修大学,47.5,Private
近畿大学,50.0,Private
京都産業大学,47.5,Private
甲南大学,47.5,Private
龍谷大学,47.5,Private
大東文化大学,42.5,Private
東海大学,42.5,Private
亜細亜大学,42.5,Private
帝京大学,42.5,Private
国士舘大学,45.0,Private
帝京平成大学,42.5,Private
日本体育大学,40.0,Private
デジタルハリウッド大学,42.0,Private
皇學館大学,45.0,Private
